,session,str_name,pfc_name,str_pearsons_r,str_p_value,pfc_pearsons_r,pfc_p_value
0,AKED0520210725,str_56,pfc_69,0.1830002596592758,0.0007784826350761,0.1706504299191941,0.0017477734186364
1,AKED0520210725,str_56,pfc_45,0.1830002596592758,0.0007784826350761,0.2377229533429173,1.126386796761166e-05
2,AKED0520210725,str_55,pfc_30,0.1310373276599931,0.0165679883960186,0.1618244597248854,0.0030176406789122
3,AKED0520210725,str_45,pfc_29,0.2134948532094528,8.40435506248691e-05,-0.3084025876265722,8.611071483524911e-09
4,AKED0520210725,str_50,pfc_74,0.1339837684208338,0.0142649459734115,0.2769354167193033,2.70180123094452e-07
5,AKED0520210725,str_12,pfc_43,-0.2100690855474476,0.0001097289557288,0.215430680579637,7.215010492785058e-05
6,AKED0520210725,str_53,pfc_27,0.1792684572154921,0.0009995084324807,0.1160215173156601,0.0340411164745893
7,AKED0520210725,str_21,pfc_60,0.1155214747925893,0.0348250095507484,0.4079119333858004,8.013979856452575e-15
8,AKED0520210725,str_41,pfc_4,0.1273384655523432,0.0199144839059116,0.2393537179782399,9.76115254712626e-06
9,AKED0520210725,str_41,pfc_20,0.1273384655523432,0.0199144839059116,0.1513751992894745,0.0055695408523649
10,AKED0520210725,str_33,pfc_74,0.1115076021763274,0.0416910187245045,0.2769354167193033,2.70180123094452e-07
11,AKED0420210806,str_3,pfc_17,-0.1396407243548624,0.0196254690531392,-0.3443397444954544,3.474989639842518e-09
12,AKED0520210720,str_0,pfc_5,0.7964205682429057,1.7416945743049042e-134,-0.2295598503919638,1.0319517035040462e-08
13,AKED0520210715,str_2,pfc_31,-0.3775551799537761,5.995103382022189e-16,0.4870174691116564,7.102364933065584e-27
14,AKED0520210715,str_11,pfc_15,-0.2282867761407541,1.8224091012085988e-06,-0.1568066658233192,0.0011350793967438
15,AKED0520210715,str_28,pfc_31,-0.5842486093418842,1.5573880847357951e-40,0.4870174691116564,7.102364933065584e-27
16,AKED0520210715,str_27,pfc_23,-0.3073621427130575,8.132941152974702e-11,0.5867478835955062,6.006467397343444e-41
17,AKED0520210715,str_12,pfc_9,0.310842255196976,4.8476736098054965e-11,0.4357997565089803,2.882368434730056e-21
18,AKED0220210731,str_17,pfc_100,-0.2531489157074578,1.003403325416594e-05,-0.1237763518646361,0.0329793940466837
19,AKED0620210803,str_13,pfc_19,0.1312102418790132,0.0128400531002579,0.4747252810259988,1.408386319124797e-21
20,AKED0620210803,str_11,pfc_49,-0.1634886830458075,0.0018848482551837,0.1904859769976469,0.0002835333998753
21,AKED0620210803,str_7,pfc_49,-0.2908000091039286,1.995324673578361e-08,0.1904859769976469,0.0002835333998753
22,AKED0620210803,str_10,pfc_54,-0.5265716769037548,5.335161429579667e-27,0.1653515172132747,0.0016682355903073
23,AKED0520210726,str_31,pfc_30,-0.1501589015518042,0.0021881485638847,0.2541922372127692,1.5818462650639886e-07
24,AKED0520210726,str_26,pfc_31,0.1317776549219977,0.0072553751120509,-0.1539919061589857,0.001674757580734
25,AKED0520210726,str_20,pfc_6,-0.1203389273491154,0.0142839815735527,0.1131470657523538,0.021299084485593
26,AKED0520210726,str_23,pfc_6,0.1270460096612661,0.0096624276482089,0.1131470657523538,0.021299084485593
27,AKED0220210729,str_4,pfc_14,0.4018333419631036,3.798273808056155e-13,0.1394107486997024,0.0153292859769957
28,AKED0220210801,str_56,pfc_96,-0.1040725722268291,0.049113514851258,-0.1059557951405465,0.0451333787230498
29,AKED0220210801,str_56,pfc_40,-0.1040725722268291,0.049113514851258,0.1753654594839967,0.0008612342764524
30,AKED0220210801,str_48,pfc_81,0.1715539983376625,0.0011188684671202,0.1789821018625562,0.0006685325197709
31,AKED0220210801,str_73,pfc_35,0.2456992686874693,2.5398293267298308e-06,-0.1264368364802928,0.0166864812496494
32,AKED0220210801,str_68,pfc_63,0.1559179853377509,0.0030974276949104,0.5468355261506141,2.62937986231212e-29
33,AKED0220210801,str_79,pfc_39,-0.1836088288157548,0.000480097663758,0.1042918398644607,0.048635510965058
34,AKED0220210801,str_69,pfc_61,0.1139898773588209,0.0310618265546941,0.3000424645963505,6.9892216973250204e-09
35,AKED0220210801,str_69,pfc_60,0.1139898773588209,0.0310618265546941,-0.3175368406468072,7.902597547735015e-10
36,AKED0220210801,str_78,pfc_85,-0.1635533761880021,0.0019048227117475,0.3041716468472861,4.232283324614153e-09
37,AKED0220210801,str_78,pfc_55,-0.1635533761880021,0.0019048227117475,0.311893273513253,1.6216614533095943e-09
38,AKED0220210801,str_60,pfc_55,0.1362157545810102,0.0098701037217123,0.311893273513253,1.6216614533095943e-09
39,AKED0220210801,str_60,pfc_40,0.1362157545810102,0.0098701037217123,0.1753654594839967,0.0008612342764524
40,AKED0220210801,str_77,pfc_50,-0.2236377544703077,1.947380215019321e-05,-0.1111120060299282,0.0355973902889792
41,AKED0220210801,str_67,pfc_90,0.1135025841175865,0.0317931418591317,0.4064637379656873,1.1257756396010426e-15
42,AKED0220210801,str_67,pfc_23,0.1135025841175865,0.0317931418591317,-0.2039235098898228,0.0001019814080714
43,AKED0620210804,str_74,pfc_80,-0.1534103519812679,0.0040700144743216,0.1934687865132756,0.0002771864711187
44,AKED0620210804,str_83,pfc_36,0.1855765641667116,0.0004926238725887,-0.1062545618014277,0.0473120518939194
45,AKED0620210804,str_83,pfc_11,0.1855765641667116,0.0004926238725887,-0.2478349733632752,2.777185096612897e-06
46,AKED0620210804,str_46,pfc_28,0.1362077318562658,0.0108552645660121,0.1597499692553769,0.0027632889545236
47,AKED0620210804,str_55,pfc_70,0.1206987854866352,0.0241333318879559,0.160897249226542,0.0025724183757809
48,AKED0620210804,str_55,pfc_46,0.1206987854866352,0.0241333318879559,0.1425818610519181,0.0076364241152647
49,AKED0620210804,str_45,pfc_49,-0.1124843478111114,0.0356837597922547,-0.2149637642844726,5.146347554471036e-05
50,AKED0620210804,str_45,pfc_84,-0.1124843478111114,0.0356837597922547,0.2313321581989122,1.2683553049839774e-05
51,AKED0620210804,str_44,pfc_80,-0.243738369400534,4.090427700521986e-06,0.1934687865132756,0.0002771864711187
52,AKED0620210804,str_57,pfc_43,0.1191336656915383,0.0260445012613453,0.1152519502657909,0.0313550518746512
53,AKED0620210804,str_15,pfc_88,0.1548657617863151,0.0037284270152338,-0.1504237887617725,0.0048609449188982
54,AKED0620210804,str_20,pfc_49,-0.1231208538063417,0.0214145273128258,-0.2149637642844726,5.146347554471036e-05
55,AKED0120210723,str_0,pfc_25,-0.1421535974414561,0.004103768449935,0.1149796289948748,0.020486168587765
56,AKED0120210723,str_0,pfc_70,-0.1421535974414561,0.004103768449935,0.154320780515963,0.0018171727755918
57,AKED0120210723,str_0,pfc_9,-0.1421535974414561,0.004103768449935,-0.2347935290172887,1.7235187482274137e-06
58,AKED0120210723,str_3,pfc_91,0.1994759538937703,5.172609521076816e-05,0.1599611953928205,0.0012205239190313
59,AKED0120210723,str_20,pfc_69,-0.151643936005813,0.0021850322793806,-0.1025958049859915,0.0387973418169308
60,AKED0620210806,str_3,pfc_10,-0.1671731904382132,9.073063700274396e-05,0.1266289791200115,0.0031179741788287
61,AKED0620210806,str_35,pfc_10,0.149045087923262,0.0004929089804694,0.1266289791200115,0.0031179741788287
62,AKED0620210806,str_19,pfc_14,-0.1179151952576812,0.0059418484011203,0.1131828519737973,0.0082945869256182
63,AKED0220210803,str_0,pfc_19,-0.1295232509406021,0.0137860862618456,0.2264177530946909,1.4019546846195678e-05
64,AKED0220210803,str_3,pfc_20,-0.1929425845663048,0.0002261072782052,-0.3977290986304919,3.929998529224823e-15
65,AKED0120210729,str_2,pfc_28,-0.212541350302797,8.4149863686857e-05,0.373687729951803,1.3112904764712225e-12
66,AKED0520210719,str_24,pfc_33,-0.1459490075311984,0.0027478020842778,-0.1142677197577034,0.0193001365147013
67,AKED0120210722,str_7,pfc_83,0.3739127136001819,9.33093198615823e-13,0.143607132017435,0.0079092738135802
68,AKED0120210722,str_6,pfc_48,0.3236546879205966,9.343941006946063e-10,-0.2300177691001225,1.7898836241142424e-05
69,AKED0220210730,str_38,pfc_52,0.1251224359553958,0.017862170520137,0.2628713640608748,4.526415523904406e-07
70,AKED0220210730,str_4,pfc_10,-0.1532848014424304,0.003645144356944,0.2864948980431732,3.4313369879649856e-08
71,AKED0220210730,str_53,pfc_56,-0.1559120428735444,0.0030985746986688,0.3714093427010983,3.7498543005178853e-13
72,AKED0220210730,str_19,pfc_51,0.162295004043631,0.0020667147464025,0.2277788268428134,1.3487230582478184e-05
73,AKED0420210803,str_2,pfc_54,0.1010827543342669,0.0249506179678039,-0.3889313068167069,3.2417115920273275e-19
74,AKED0420210804,str_12,pfc_11,0.1348153939278339,0.0161447071034572,-0.1725792904391997,0.0020109039958962
75,AKED0120210801,str_1,pfc_36,-0.1325887520092364,0.0265198881867721,0.478000269597462,2.1673834565915592e-17
76,AKED0120210801,str_1,pfc_24,-0.1325887520092364,0.0265198881867721,-0.2399305353792012,4.986663849879978e-05
77,AKED0120210801,str_11,pfc_38,0.1442510946287464,0.0157079392770687,0.2300908088213683,0.0001022510614776
78,AKED0120210801,str_5,pfc_84,0.1554408064462218,0.0091809787244484,0.4019469254263788,2.692526467915225e-12
79,AKED0420210802,str_39,pfc_65,-0.4924828916964877,3.929973907143522e-26,0.1259535600612351,0.0111793169293912
80,AKED0420210802,str_49,pfc_78,0.5444168165303731,1.2531893155317808e-32,0.1271452215382276,0.0104298616555349
81,AKED0420210802,str_18,pfc_21,-0.1418702892160769,0.0042264943779019,-0.4500602580444013,1.362718135368821e-21
82,AKED0420210802,str_18,pfc_79,-0.1418702892160769,0.0042264943779019,0.1517614950163827,0.0021952706455134
83,AKED0420210802,str_63,pfc_7,0.7379384141606393,8.041032355768216e-71,0.1753619663876728,0.00039157589328
84,AKED0420210802,str_17,pfc_21,0.1589217304248806,0.0013330465946752,-0.4500602580444013,1.362718135368821e-21
85,AKED0420210802,str_10,pfc_50,0.6146498359673765,1.9334050097210746e-43,0.130070469928396,0.0087757425906632
86,AKED0420210802,str_32,pfc_65,-0.2751105712589472,1.8194002135471215e-08,0.1259535600612351,0.0111793169293912
87,AKED0420210802,str_32,pfc_43,-0.2751105712589472,1.8194002135471215e-08,0.1205824687075468,0.0151806463501069
88,AKED0420210802,str_41,pfc_65,-0.2820544935844899,7.632141967581603e-09,0.1259535600612351,0.0111793169293912
89,AKED0420210802,str_20,pfc_4,0.1329223703266078,0.0073922054982286,0.115931475169456,0.0196094006217571
90,AKED0220210804,str_13,pfc_20,0.2602654536035032,2.35404190379758e-08,0.1629887026789325,0.0005412197267544
91,AKED0220210804,str_9,pfc_8,0.2101047937515244,7.47212527550138e-06,0.0959094989044251,0.0426878781477362
92,AKED0220210804,str_3,pfc_29,0.2400550467069299,2.800233638559757e-07,-0.1336378318125965,0.0046516744346893
93,AKED0220210804,str_5,pfc_28,-0.0931685346842382,0.0490022368828041,0.3302190318425613,7.835359557991213e-13
94,AKED0220210804,str_4,pfc_15,0.313284853939372,1.2323320626485667e-11,-0.1506557337731097,0.001400475883693
95,AKED0520210727,str_23,pfc_42,-0.1384323184803028,0.0007395173630704,0.1136295822060116,0.0056834797569421
96,AKED0120210721,str_0,pfc_6,0.1264270680665045,0.0181341376714567,0.1702368436525009,0.0014118894981611
97,AKED0120210721,str_4,pfc_91,-0.1221808918738883,0.0224363773515882,0.1059233920890837,0.0480101172840287
